transaction_id,timestamp,amount,sender_city,receiver_city,sender_bank,receiver_bank,merchant_category,transaction_type,device_type,is_new_recipient,failed_attempts,is_fraud,hour,day_of_week,month,is_odd_hour,cross_city
TXN2492779,2023-11-28 14:58:00,522.87,Ahmedabad,Hyderabad,Kotak,ICICI,Swiggy,Recharge,Android,0,0,0,14,Tuesday,11,0,1
TXN4720063,2023-03-21 01:57:00,20089.97,Jaipur,Hyderabad,BOB,Axis,Individual,P2P,iOS,1,1,1,1,Tuesday,3,1,1
TXN9202165,2023-06-01 09:25:00,394.96,Delhi,Bengaluru,Axis,HDFC,Flipkart,Investment,Android,0,0,0,9,Thursday,6,0,1
TXN3890312,2023-11-07 21:33:00,412.87,Jaipur,Mumbai,Yes Bank,PNB,Flipkart,Bill Payment,Android,0,2,0,21,Tuesday,11,0,1
TXN3951228,2023-02-21 01:26:00,163413.95,Jaipur,Mumbai,HDFC,Kotak,Individual,P2P,iOS,1,3,1,1,Tuesday,2,1,1
TXN5101925,2023-11-28 16:36:00,739.5,Kolkata,Jaipur,SBI,BOB,Flipkart,Bill Payment,Android,0,0,0,16,Tuesday,11,0,1
TXN2838649,2023-10-23 15:58:00,649.87,Delhi,Ahmedabad,HDFC,PNB,MakeMyTrip,P2P,Android,0,1,0,15,Monday,10,0,1
TXN3525122,2023-08-30 11:27:00,1157.77,Kolkata,Mumbai,PNB,BOB,Zomato,Bill Payment,Android,0,0,0,11,Wednesday,8,0,1
TXN6948095,2023-09-03 17:57:00,49.33,Mumbai,Jaipur,ICICI,Axis,BookMyShow,P2M,Android,0,0,0,17,Sunday,9,0,1
TXN7537720,2023-10-07 00:44:00,154605.78,Lucknow,Kolkata,Axis,BOB,Individual,P2M,Android,0,0,1,0,Saturday,10,1,1
TXN6583198,2023-02-01 12:02:00,530.73,Mumbai,Jaipur,Axis,SBI,MakeMyTrip,Bill Payment,Android,0,0,0,12,Wednesday,2,0,1
TXN8742307,2023-11-17 13:22:00,1219.64,Mumbai,Mumbai,SBI,Yes Bank,Zomato,P2P,Android,0,0,0,13,Friday,11,0,0
TXN5084352,2023-05-11 19:39:00,188.87,Kolkata,Kolkata,BOB,Axis,MakeMyTrip,P2P,Android,0,0,0,19,Thursday,5,0,0
TXN2063764,2023-02-16 16:04:00,283.09,Bengaluru,Chennai,Yes Bank,Yes Bank,LIC,Bill Payment,Android,0,1,0,16,Thursday,2,0,1
TXN3237608,2023-06-25 16:28:00,499.79,Bengaluru,Kolkata,Kotak,PNB,Electricity Board,Investment,Android,0,0,0,16,Sunday,6,0,1
TXN9408295,2023-12-31 17:08:00,274.35,Lucknow,Mumbai,PNB,BOB,BigBasket,Bill Payment,Android,0,0,0,17,Sunday,12,0,1
TXN6824562,2023-09-06 15:30:00,1111.9,Lucknow,Mumbai,Kotak,Kotak,Myntra,Bill Payment,Android,0,0,0,15,Wednesday,9,0,1
TXN4745685,2023-03-04 16:24:00,412.16,Pune,Pune,Kotak,ICICI,BookMyShow,Bill Payment,iOS,0,0,0,16,Saturday,3,0,0
TXN7553631,2023-08-13 15:48:00,261.86,Lucknow,Bengaluru,Axis,Yes Bank,LIC,Recharge,Android,1,0,0,15,Sunday,8,0,1
TXN8548108,2023-07-18 14:35:00,204.64,Mumbai,Bengaluru,Yes Bank,PNB,Flipkart,Recharge,Android,0,0,0,14,Tuesday,7,0,1
TXN4156753,2023-03-17 20:35:00,1553.69,Bengaluru,Hyderabad,Axis,Kotak,BookMyShow,P2M,Android,0,0,0,20,Friday,3,0,1
TXN9991321,2023-06-10 20:07:00,736.15,Pune,Hyderabad,Yes Bank,Kotak,Myntra,Bill Payment,Android,0,0,0,20,Saturday,6,0,1
TXN5354243,2023-05-24 08:09:00,271.52,Jaipur,Mumbai,Kotak,BOB,BookMyShow,Investment,iOS,0,0,0,8,Wednesday,5,0,1
TXN8354547,2023-03-27 17:41:00,37.27,Ahmedabad,Bengaluru,BOB,HDFC,Rent Payment,Investment,iOS,0,0,0,17,Monday,3,0,1
TXN8139382,2023-03-30 08:30:00,429.57,Ahmedabad,Lucknow,PNB,Yes Bank,Paytm,Recharge,Android,0,0,0,8,Thursday,3,0,1
TXN3135534,2023-12-23 16:35:00,56.54,Hyderabad,Kolkata,BOB,ICICI,MakeMyTrip,Investment,iOS,0,0,0,16,Saturday,12,0,1
TXN2557792,2023-04-21 21:53:00,49.98,Pune,Ahmedabad,HDFC,Kotak,Swiggy,Recharge,Android,1,0,0,21,Friday,4,0,1
TXN8665814,2023-03-02 21:31:00,26.05,Chennai,Delhi,ICICI,Yes Bank,PhonePe,Recharge,Android,0,0,0,21,Thursday,3,0,1
TXN9414329,2023-11-14 17:11:00,73.94,Lucknow,Kolkata,BOB,PNB,Electricity Board,Bill Payment,Android,0,0,0,17,Tuesday,11,0,1
TXN3950888,2023-02-24 20:14:00,309.89,Jaipur,Ahmedabad,SBI,Axis,Rent Payment,P2P,iOS,0,0,0,20,Friday,2,0,1
TXN9187470,2023-07-18 18:17:00,174.97,Mumbai,Pune,Kotak,Kotak,Paytm,Investment,Android,0,0,0,18,Tuesday,7,0,1
TXN2671275,2023-06-29 10:36:00,49.2,Jaipur,Ahmedabad,HDFC,BOB,Amazon,Investment,Android,0,0,0,10,Thursday,6,0,1
TXN7670331,2023-01-10 16:42:00,1751.03,Delhi,Mumbai,SBI,Yes Bank,MakeMyTrip,P2M,Android,0,0,0,16,Tuesday,1,0,1
TXN5314628,2023-11-12 22:27:00,2683.3,Pune,Hyderabad,Kotak,BOB,Paytm,Bill Payment,Android,0,0,0,22,Sunday,11,1,1
TXN7945742,2023-06-23 23:14:00,28.68,Delhi,Jaipur,Axis,Yes Bank,PhonePe,Bill Payment,Android,0,0,0,23,Friday,6,1,1
TXN9622009,2023-08-28 19:23:00,73.34,Lucknow,Delhi,Kotak,Yes Bank,BigBasket,Bill Payment,Android,0,0,0,19,Monday,8,0,1
TXN3157474,2023-11-03 10:35:00,483.05,Hyderabad,Ahmedabad,HDFC,SBI,PhonePe,Bill Payment,Android,0,0,0,10,Friday,11,0,1
TXN4495241,2023-10-14 15:22:00,78.59,Ahmedabad,Ahmedabad,Yes Bank,Axis,PhonePe,P2P,iOS,0,0,0,15,Saturday,10,0,0
TXN3842237,2023-09-25 22:39:00,421.66,Chennai,Chennai,Kotak,SBI,LIC,P2M,Android,0,0,0,22,Monday,9,1,0
TXN1162148,2023-09-08 19:35:00,1472.25,Kolkata,Ahmedabad,SBI,Kotak,BookMyShow,P2P,Android,0,0,0,19,Friday,9,0,1
TXN2885707,2023-04-06 08:53:00,190.96,Bengaluru,Lucknow,PNB,SBI,Rent Payment,P2M,Android,0,0,0,8,Thursday,4,0,1
TXN3986023,2023-04-08 00:00:00,28189.39,Hyderabad,Mumbai,ICICI,PNB,PhonePe,P2P,iOS,1,0,1,0,Saturday,4,1,1
TXN4773789,2023-01-30 16:14:00,411.39,Kolkata,Jaipur,PNB,Yes Bank,MakeMyTrip,Recharge,iOS,0,0,0,16,Monday,1,0,1
TXN2924899,2023-11-20 09:28:00,232.44,Chennai,Jaipur,PNB,Kotak,Zomato,Investment,Android,0,0,0,9,Monday,11,0,1
TXN8926818,2023-02-15 18:29:00,473.46,Jaipur,Bengaluru,PNB,PNB,Electricity Board,Investment,Android,0,0,0,18,Wednesday,2,0,1
TXN1474092,2023-08-07 16:54:00,842.44,Hyderabad,Kolkata,Kotak,SBI,Electricity Board,Recharge,Android,0,0,0,16,Monday,8,0,1
TXN9528533,2023-03-16 18:43:00,83.55,Kolkata,Lucknow,SBI,SBI,LIC,Investment,Android,0,0,0,18,Thursday,3,0,1
TXN8326807,2023-12-20 18:05:00,301.72,Delhi,Hyderabad,BOB,BOB,BookMyShow,P2P,iOS,0,0,0,18,Wednesday,12,0,1
TXN5958241,2023-01-11 13:25:00,50.69,Kolkata,Jaipur,Yes Bank,HDFC,Rent Payment,Investment,Android,0,0,0,13,Wednesday,1,0,1
TXN3514191,2023-11-10 14:17:00,522.52,Lucknow,Jaipur,BOB,ICICI,PhonePe,Investment,Android,0,0,0,14,Friday,11,0,1
TXN2313769,2023-10-26 15:28:00,204.18,Pune,Pune,Axis,Kotak,Rent Payment,Recharge,Android,1,0,0,15,Thursday,10,0,0
TXN9745873,2023-01-22 01:29:00,139118.6,Kolkata,Bengaluru,BOB,Yes Bank,Paytm,P2M,iOS,1,1,1,1,Sunday,1,1,1
TXN4761545,2023-09-28 21:45:00,158.18,Kolkata,Mumbai,BOB,Axis,PhonePe,P2P,iOS,0,1,0,21,Thursday,9,0,1
TXN7559954,2023-09-15 23:33:00,79.53,Kolkata,Pune,Kotak,HDFC,Electricity Board,Investment,Android,0,0,0,23,Friday,9,1,1
TXN7373470,2023-02-11 22:44:00,314.93,Bengaluru,Chennai,SBI,Kotak,BigBasket,Recharge,Android,0,0,0,22,Saturday,2,1,1
TXN3653705,2023-02-24 09:30:00,253.59,Mumbai,Bengaluru,PNB,ICICI,Zomato,P2M,Android,0,0,0,9,Friday,2,0,1
TXN2102685,2023-01-31 19:48:00,171.23,Delhi,Ahmedabad,HDFC,Axis,Individual,Bill Payment,Android,0,0,0,19,Tuesday,1,0,1
TXN1164692,2023-07-25 18:46:00,450.3,Pune,Mumbai,Kotak,HDFC,Myntra,P2M,iOS,1,0,0,18,Tuesday,7,0,1
TXN1453303,2023-02-04 10:37:00,316.61,Bengaluru,Mumbai,BOB,SBI,Myntra,P2P,Android,0,0,0,10,Saturday,2,0,1
TXN8927716,2023-10-04 19:52:00,606.95,Bengaluru,Chennai,SBI,Axis,Swiggy,Bill Payment,Android,0,0,0,19,Wednesday,10,0,1
TXN7135212,2023-06-28 12:01:00,108.07,Ahmedabad,Pune,BOB,Axis,MakeMyTrip,Investment,Android,1,0,0,12,Wednesday,6,0,1
TXN8475912,2023-08-04 13:23:00,80.6,Kolkata,Lucknow,HDFC,Axis,BigBasket,Bill Payment,Android,0,0,0,13,Friday,8,0,1
TXN2222969,2023-01-23 09:31:00,398.21,Lucknow,Lucknow,HDFC,SBI,BigBasket,Bill Payment,Android,0,0,0,9,Monday,1,0,0
TXN4894112,2023-01-20 08:20:00,262.94,Lucknow,Bengaluru,ICICI,ICICI,Swiggy,Bill Payment,iOS,0,0,0,8,Friday,1,0,1
TXN1799877,2023-04-12 18:59:00,30.16,Lucknow,Mumbai,Axis,ICICI,Zomato,Bill Payment,Android,0,0,0,18,Wednesday,4,0,1
TXN1247326,2023-12-27 20:01:00,54.5,Jaipur,Lucknow,ICICI,HDFC,Electricity Board,Investment,Android,0,0,0,20,Wednesday,12,0,1
TXN8355289,2023-09-18 09:18:00,175.95,Ahmedabad,Chennai,HDFC,HDFC,Rent Payment,Investment,Android,0,0,0,9,Monday,9,0,1
TXN9720836,2023-08-25 09:05:00,497.51,Mumbai,Delhi,BOB,Yes Bank,Electricity Board,Recharge,iOS,0,0,0,9,Friday,8,0,1
TXN9858425,2023-07-31 13:57:00,1068.1,Kolkata,Delhi,Yes Bank,HDFC,BigBasket,Investment,Android,0,0,0,13,Monday,7,0,1
TXN1569792,2023-11-17 17:01:00,430.12,Lucknow,Delhi,PNB,PNB,Electricity Board,Recharge,Android,0,0,0,17,Friday,11,0,1
TXN5189501,2023-01-11 12:04:00,874.49,Kolkata,Jaipur,Kotak,HDFC,Paytm,Recharge,iOS,0,0,0,12,Wednesday,1,0,1
TXN4643269,2023-06-23 14:37:00,438.45,Lucknow,Bengaluru,Kotak,ICICI,Myntra,P2P,Android,1,0,0,14,Friday,6,0,1
TXN8567158,2023-08-08 22:14:00,887.22,Pune,Kolkata,Yes Bank,Kotak,Rent Payment,Recharge,Android,0,0,0,22,Tuesday,8,1,1
TXN3012094,2023-08-30 07:14:00,713.09,Mumbai,Pune,Axis,Yes Bank,Zomato,Investment,Android,0,0,0,7,Wednesday,8,0,1
TXN4674129,2023-07-13 23:32:00,39.78,Mumbai,Delhi,HDFC,BOB,Electricity Board,P2P,Android,0,0,0,23,Thursday,7,1,1
TXN7737884,2023-02-23 12:11:00,43.26,Kolkata,Ahmedabad,PNB,PNB,Paytm,P2M,Android,0,0,0,12,Thursday,2,0,1
TXN7305210,2023-08-18 14:41:00,89.48,Bengaluru,Ahmedabad,Yes Bank,Kotak,Flipkart,Bill Payment,Android,0,0,0,14,Friday,8,0,1
TXN8496267,2023-04-17 19:03:00,237.3,Ahmedabad,Kolkata,Axis,Axis,LIC,Recharge,Android,0,1,0,19,Monday,4,0,1
TXN1237050,2023-09-22 08:19:00,70.37,Delhi,Chennai,BOB,HDFC,Rent Payment,Bill Payment,Android,0,0,0,8,Friday,9,0,1
TXN9259287,2023-10-19 08:03:00,84.58,Chennai,Delhi,BOB,BOB,Electricity Board,Bill Payment,Android,0,0,0,8,Thursday,10,0,1
TXN9503330,2023-10-31 07:21:00,1689.78,Mumbai,Lucknow,Yes Bank,SBI,Individual,Recharge,Android,1,0,0,7,Tuesday,10,0,1
TXN5622262,2023-03-11 16:48:00,991.0,Ahmedabad,Chennai,BOB,ICICI,Paytm,Investment,iOS,0,0,0,16,Saturday,3,0,1
TXN8869651,2023-06-21 23:32:00,168.49,Hyderabad,Delhi,Kotak,PNB,Individual,P2P,Android,0,0,0,23,Wednesday,6,1,1
TXN9774640,2023-08-15 19:29:00,1853.92,Lucknow,Ahmedabad,BOB,Kotak,PhonePe,P2M,Android,0,0,0,19,Tuesday,8,0,1
TXN8358018,2023-10-02 15:06:00,971.78,Ahmedabad,Bengaluru,ICICI,PNB,Electricity Board,Recharge,Android,1,0,0,15,Monday,10,0,1
TXN2744116,2023-12-23 21:37:00,394.56,Hyderabad,Bengaluru,PNB,Axis,Flipkart,P2M,Android,0,0,0,21,Saturday,12,0,1
TXN1403620,2023-11-13 11:56:00,156.35,Delhi,Hyderabad,Axis,Yes Bank,Swiggy,Bill Payment,iOS,0,0,0,11,Monday,11,0,1
TXN4177211,2023-09-28 20:39:00,135.98,Pune,Mumbai,Kotak,PNB,Flipkart,Recharge,Android,0,0,0,20,Thursday,9,0,1
TXN4341645,2023-08-03 17:20:00,88.14,Lucknow,Bengaluru,HDFC,HDFC,Rent Payment,P2P,Android,1,0,0,17,Thursday,8,0,1
TXN9521022,2023-09-26 22:00:00,72.38,Lucknow,Chennai,Axis,ICICI,LIC,Recharge,Android,0,0,0,22,Tuesday,9,1,1
TXN6521328,2023-11-28 23:27:00,634.09,Hyderabad,Jaipur,PNB,SBI,BigBasket,Recharge,Android,0,0,0,23,Tuesday,11,1,1
TXN5314218,2023-11-14 10:32:00,2705.15,Jaipur,Kolkata,SBI,BOB,Zomato,Bill Payment,Android,0,0,0,10,Tuesday,11,0,1
TXN5082707,2023-03-11 14:08:00,248.87,Pune,Lucknow,ICICI,Yes Bank,MakeMyTrip,P2P,Android,0,0,0,14,Saturday,3,0,1
TXN7287843,2023-12-25 13:11:00,566.0,Pune,Chennai,Kotak,HDFC,Zomato,Investment,Android,0,0,0,13,Monday,12,0,1
TXN6165151,2023-12-16 13:46:00,248.55,Ahmedabad,Pune,SBI,HDFC,Myntra,Investment,Android,0,0,0,13,Saturday,12,0,1
TXN2881939,2023-01-05 13:23:00,40.81,Jaipur,Jaipur,Axis,Kotak,Electricity Board,Bill Payment,iOS,1,0,0,13,Thursday,1,0,0
TXN6040403,2023-12-13 07:55:00,431.45,Lucknow,Ahmedabad,SBI,Kotak,BigBasket,Bill Payment,Android,0,0,0,7,Wednesday,12,0,1
TXN5207762,2023-03-20 17:55:00,62.08,Bengaluru,Pune,Yes Bank,Axis,Individual,P2P,iOS,0,0,0,17,Monday,3,0,1
TXN6143335,2023-06-16 17:21:00,85.71,Pune,Lucknow,PNB,SBI,PhonePe,P2P,Android,0,0,0,17,Friday,6,0,1
TXN2792709,2023-03-22 08:53:00,392.28,Chennai,Jaipur,Yes Bank,BOB,Swiggy,Investment,iOS,1,0,0,8,Wednesday,3,0,1
TXN9927419,2023-02-25 09:39:00,20.45,Hyderabad,Delhi,SBI,Axis,Swiggy,Bill Payment,Android,0,0,0,9,Saturday,2,0,1
TXN1675388,2023-02-26 13:18:00,105.23,Bengaluru,Kolkata,BOB,PNB,Swiggy,P2M,Android,1,1,0,13,Sunday,2,0,1
TXN4473870,2023-04-05 21:10:00,18.47,Kolkata,Mumbai,Axis,SBI,BookMyShow,Recharge,Android,0,0,0,21,Wednesday,4,0,1
TXN4659799,2023-04-10 22:32:00,105.04,Kolkata,Delhi,PNB,ICICI,Rent Payment,Recharge,iOS,0,0,0,22,Monday,4,1,1
TXN4778664,2023-12-24 09:39:00,120.34,Pune,Hyderabad,PNB,ICICI,PhonePe,P2P,iOS,0,1,0,9,Sunday,12,0,1
TXN9300462,2023-09-21 15:37:00,2271.0,Jaipur,Pune,SBI,Yes Bank,BookMyShow,Recharge,Android,0,0,0,15,Thursday,9,0,1
TXN2610108,2023-05-07 10:53:00,176.89,Pune,Delhi,Axis,BOB,LIC,Recharge,iOS,0,0,0,10,Sunday,5,0,1
TXN5884185,2023-06-30 09:26:00,789.07,Mumbai,Kolkata,Kotak,SBI,Swiggy,Bill Payment,Android,1,1,0,9,Friday,6,0,1
TXN1643934,2023-09-19 10:31:00,131.2,Jaipur,Hyderabad,Axis,PNB,Zomato,Bill Payment,Android,0,0,0,10,Tuesday,9,0,1
TXN4489643,2023-06-21 10:53:00,192.9,Ahmedabad,Bengaluru,SBI,BOB,LIC,Recharge,iOS,1,0,0,10,Wednesday,6,0,1
TXN3155957,2023-06-22 13:09:00,150.61,Ahmedabad,Lucknow,Yes Bank,PNB,Amazon,Recharge,Android,0,0,0,13,Thursday,6,0,1
TXN4118973,2023-10-24 13:49:00,105.86,Lucknow,Ahmedabad,Kotak,PNB,Zomato,P2P,Android,0,0,0,13,Tuesday,10,0,1
TXN5824706,2023-02-14 15:59:00,403.53,Kolkata,Jaipur,HDFC,Axis,Rent Payment,P2P,Android,0,0,0,15,Tuesday,2,0,1
TXN7430237,2023-06-12 14:10:00,195.91,Hyderabad,Jaipur,SBI,ICICI,Zomato,Investment,Android,1,0,0,14,Monday,6,0,1
TXN1166214,2023-01-31 16:42:00,448.84,Hyderabad,Chennai,HDFC,Yes Bank,BigBasket,P2P,Android,0,0,0,16,Tuesday,1,0,1
TXN8069381,2023-12-13 20:05:00,441.18,Kolkata,Jaipur,Kotak,SBI,MakeMyTrip,P2M,iOS,0,0,0,20,Wednesday,12,0,1
TXN5951988,2023-06-25 14:56:00,338.51,Lucknow,Bengaluru,ICICI,Axis,Zomato,Recharge,Android,0,2,0,14,Sunday,6,0,1
TXN4755494,2023-08-08 21:17:00,173.85,Kolkata,Mumbai,Kotak,Axis,Flipkart,Recharge,Android,0,0,0,21,Tuesday,8,0,1
TXN9541973,2023-10-09 23:15:00,349.53,Mumbai,Chennai,HDFC,BOB,MakeMyTrip,Investment,Android,1,0,0,23,Monday,10,1,1
TXN5348733,2023-06-03 16:21:00,388.02,Bengaluru,Bengaluru,SBI,Axis,PhonePe,P2P,Android,0,0,0,16,Saturday,6,0,0
TXN4607488,2023-02-20 10:54:00,349.1,Kolkata,Ahmedabad,Axis,BOB,Paytm,Recharge,iOS,0,0,0,10,Monday,2,0,1
TXN2536249,2023-01-29 19:22:00,337.53,Pune,Delhi,Axis,ICICI,LIC,P2M,Android,0,0,0,19,Sunday,1,0,1
TXN1246499,2023-10-14 12:24:00,103.53,Chennai,Delhi,SBI,PNB,Amazon,P2P,Android,0,0,0,12,Saturday,10,0,1
TXN5611663,2023-03-30 15:07:00,147.13,Delhi,Hyderabad,BOB,Yes Bank,MakeMyTrip,P2P,Android,0,0,0,15,Thursday,3,0,1
TXN7893063,2023-03-26 21:02:00,603.24,Pune,Hyderabad,Yes Bank,Kotak,LIC,Recharge,Android,0,1,0,21,Sunday,3,0,1
TXN3379157,2023-05-20 19:05:00,94.43,Jaipur,Mumbai,PNB,Kotak,Rent Payment,P2M,Android,0,0,0,19,Saturday,5,0,1
TXN3929212,2023-02-28 07:10:00,290.96,Mumbai,Delhi,Axis,ICICI,Zomato,Recharge,Android,1,1,0,7,Tuesday,2,0,1
TXN7462506,2023-11-07 23:07:00,68.77,Lucknow,Hyderabad,Kotak,SBI,Electricity Board,Recharge,Android,1,0,0,23,Tuesday,11,1,1
TXN7486209,2023-10-14 14:09:00,33.57,Delhi,Kolkata,Yes Bank,BOB,PhonePe,Bill Payment,iOS,1,0,0,14,Saturday,10,0,1
TXN5969864,2023-07-30 20:45:00,416.04,Ahmedabad,Mumbai,PNB,Kotak,Individual,Recharge,Android,1,0,0,20,Sunday,7,0,1
TXN8231636,2023-05-25 11:34:00,58.65,Kolkata,Bengaluru,ICICI,Yes Bank,Zomato,Investment,Android,0,0,0,11,Thursday,5,0,1
TXN8080336,2023-05-17 11:20:00,139.6,Pune,Bengaluru,SBI,BOB,Individual,P2P,Android,1,0,0,11,Wednesday,5,0,1
TXN4408831,2023-01-29 23:56:00,750.83,Pune,Kolkata,BOB,HDFC,Rent Payment,P2P,iOS,0,0,0,23,Sunday,1,1,1
TXN9704181,2023-07-06 23:22:00,66.46,Ahmedabad,Ahmedabad,HDFC,PNB,Myntra,P2M,Android,0,0,0,23,Thursday,7,1,0
TXN2882365,2023-06-08 11:03:00,668.2,Jaipur,Chennai,Axis,PNB,Electricity Board,Investment,iOS,0,0,0,11,Thursday,6,0,1
TXN4117026,2023-09-05 22:42:00,652.47,Delhi,Hyderabad,BOB,SBI,Swiggy,Investment,Android,0,0,0,22,Tuesday,9,1,1
TXN7729582,2023-06-05 19:54:00,210.93,Jaipur,Pune,HDFC,BOB,MakeMyTrip,P2M,Android,0,0,0,19,Monday,6,0,1
TXN4321277,2023-04-13 07:18:00,543.7,Delhi,Delhi,Axis,SBI,Zomato,P2M,Android,0,0,0,7,Thursday,4,0,0
TXN3982812,2023-09-15 21:59:00,583.45,Lucknow,Delhi,ICICI,BOB,Myntra,P2M,Android,0,0,0,21,Friday,9,0,1
TXN4029544,2023-10-02 18:26:00,63.38,Ahmedabad,Pune,Yes Bank,Yes Bank,Myntra,Recharge,Android,1,0,0,18,Monday,10,0,1
TXN2179710,2023-09-17 14:09:00,75.6,Lucknow,Delhi,Axis,Axis,Electricity Board,P2P,Android,0,0,0,14,Sunday,9,0,1
TXN4240180,2023-04-25 07:42:00,2259.13,Kolkata,Pune,Kotak,HDFC,LIC,Bill Payment,iOS,0,0,0,7,Tuesday,4,0,1
TXN8804797,2023-09-24 07:29:00,50.26,Delhi,Mumbai,HDFC,ICICI,Swiggy,Bill Payment,Android,0,0,0,7,Sunday,9,0,1
TXN2616879,2023-06-28 12:01:00,107.39,Pune,Kolkata,HDFC,Kotak,BigBasket,P2P,iOS,1,2,0,12,Wednesday,6,0,1
TXN4971793,2023-07-28 11:59:00,172.43,Bengaluru,Bengaluru,BOB,SBI,Amazon,Bill Payment,Android,0,0,0,11,Friday,7,0,0
TXN7142176,2023-02-16 15:51:00,74.99,Jaipur,Delhi,BOB,Axis,Rent Payment,P2P,Android,0,0,0,15,Thursday,2,0,1
TXN4471797,2023-03-15 16:42:00,96.47,Mumbai,Pune,SBI,Kotak,PhonePe,Investment,Android,0,0,0,16,Wednesday,3,0,1
TXN4003461,2023-04-26 08:59:00,431.44,Ahmedabad,Kolkata,Kotak,ICICI,Swiggy,Investment,iOS,0,0,0,8,Wednesday,4,0,1
TXN7468051,2023-12-12 14:01:00,208.28,Hyderabad,Pune,Yes Bank,SBI,Individual,P2M,iOS,0,0,0,14,Tuesday,12,0,1
TXN7785090,2023-06-10 20:36:00,2352.95,Kolkata,Chennai,HDFC,BOB,Swiggy,Bill Payment,Android,1,0,0,20,Saturday,6,0,1
TXN8642096,2023-06-04 01:47:00,42970.17,Jaipur,Ahmedabad,PNB,ICICI,Individual,P2M,iOS,1,3,1,1,Sunday,6,1,1
TXN8428888,2023-12-28 14:25:00,63.57,Kolkata,Delhi,HDFC,Yes Bank,MakeMyTrip,Recharge,Android,0,0,0,14,Thursday,12,0,1
TXN5072244,2023-08-10 21:40:00,13.98,Lucknow,Ahmedabad,HDFC,ICICI,LIC,Recharge,Android,1,0,0,21,Thursday,8,0,1
TXN3927616,2023-10-23 12:02:00,23.01,Hyderabad,Ahmedabad,BOB,BOB,BigBasket,Investment,Android,1,0,0,12,Monday,10,0,1
TXN2202201,2023-08-06 19:34:00,107.94,Pune,Ahmedabad,SBI,Axis,MakeMyTrip,P2M,Android,0,0,0,19,Sunday,8,0,1
TXN5556342,2023-05-31 17:05:00,478.39,Lucknow,Hyderabad,HDFC,PNB,BigBasket,P2P,iOS,0,1,0,17,Wednesday,5,0,1
TXN1834963,2023-09-20 14:28:00,2549.69,Delhi,Bengaluru,Kotak,Yes Bank,Zomato,P2P,Android,0,0,0,14,Wednesday,9,0,1
TXN3544031,2023-08-28 21:58:00,558.31,Lucknow,Delhi,BOB,HDFC,Individual,Recharge,Android,1,0,0,21,Monday,8,0,1
TXN5255251,2023-03-21 20:41:00,456.33,Chennai,Jaipur,BOB,PNB,MakeMyTrip,Bill Payment,Android,0,0,0,20,Tuesday,3,0,1
